Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,17136.44568,21451.88617,21557.65187,20246.99308,19245.65151,11213.47523,9218.987324,9697.630234,
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,26917.75898,25916.29353,22242.68193,21874.8195,21760.9798,18070.77678,17881.5267,18613.42387,
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,7365.641538,7410.477525,7583.188055,7956.076548,8569.926734,9333.270231,9892.479497,10451.02988,
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,43988.33249,47186.98147,45936.76595,47262.28276,50408.33455,44912.26609,48159.66532,,
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,2825.519029,3187.841465,3299.605536,3452.834671,3687.763767,3923.573344,4140.737635,4470.989572,
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,30700.43401,30862.11,32499.23425,33272.01871,34404.5674,35291.13642,35562.56753,35675.79417,
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,3044.948083,3438.825278,3799.753364,3941.114661,4031.531939,4160.265415,4531.243527,4655.144448,
High income,HIC,GDP per capita (current US$),NY.GDP.PCAP.CD,38137.9556,41018.65187,40812.21025,41009.04412,41598.07858,39134.28941,39674.62175,41214.28084,
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,32549.99823,35142.48793,36730.8767,38403.77771,40315.28556,42431.88828,43737.04197,46193.61452,
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,1932.85829,2120.589469,2178.388555,2136.771718,2242.707459,2341.27532,2375.096327,2480.125929,
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),NY.GDP.PCAP.CD,751.2451657,816.1727046,853.0430255,926.5969751,952.2959233,918.4617485,903.4606825,970.6319121,
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,13546.21421,14578.2901,13250.75712,13663.51913,13606.89344,11773.26466,12371.00216,13382.71985,
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,662.2795182,740.9358452,766.8437623,810.2656073,830.1138816,814.5463952,734.8025912,765.6839246,
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,13092.23376,14118.12263,12888.30459,13667.70279,14201.44883,12483.86594,12820.0882,14224.84646,
IBRD only,IBD,GDP per capita (current US$),NY.GDP.PCAP.CD,4511.442885,5283.085067,5561.142174,5820.744609,5954.494235,5567.332373,5541.793618,6043.385053,
IDA & IBRD total,IBT,GDP per capita (current US$),NY.GDP.PCAP.CD,3693.94054,4302.541238,4519.358954,4727.529615,4835.204865,4519.176995,4473.559036,4846.560308,
IDA total,IDA,GDP per capita (current US$),NY.GDP.PCAP.CD,1060.344966,1182.489343,1247.354228,1339.836847,1413.441925,1357.360982,1291.448292,1325.647121,
IDA blend,IDB,GDP per capita (current US$),NY.GDP.PCAP.CD,1559.863381,1758.640866,1891.820852,2009.949426,2127.256266,1968.999911,1782.698199,1734.022521,
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,3113.480635,3634.276805,3687.953996,3620.663981,3491.595887,3334.549075,3570.284615,3846.864323,
IDA only,IDX,GDP per capita (current US$),NY.GDP.PCAP.CD,807.1554082,890.818313,919.5844446,999.2857872,1050.07692,1047.696117,1045.305747,1124.523563,
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,73935.679,81304.85001,79028.04498,82356.82337,89941.64429,81672.0227,78730.16228,,
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,1345.770153,1461.671957,1446.98541,1452.195373,1576.004018,1606.038285,1717.473878,1942.097401,
Not classified,INX,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,48671.88829,52186.49627,49042.33825,51773.11137,55412.9286,61807.67037,64100.42995,69330.69015,
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,6531.92743,7729.343353,7832.902635,6036.192088,5540.984136,4862.299729,5219.109408,5593.853783,
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,4502.749048,5854.614497,6651.12242,6925.224046,6703.074737,4914.727611,4584.617431,5017.968065,
